SiteName,SiteEngName,DamName,County,Township,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,SampleLayer,SampleDepth,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,109,μg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,總磷,Total-Phosphate,TP,0.093,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,106.3,%
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,氨氮,NH3-N,NH3-N,<0.01,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,25.3,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,8.2,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,懸浮固體,Suspended Solid,SS,14.5,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,氣溫,Temperature,TMP,26.0,℃
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,採樣深度,Sampling Depth,SDP,0.5,m
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,導電度,Conductivity,EC,657,μmho/cm25℃
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,濁度,Turbidity,TB,11,NTU
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,酸鹼值,pH,pH,8.9,
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,透明度,Transparency,SD,1.0,m
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,水溫,Water Temperature,WT,28.2,℃
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-05-10,表水,0.50m,卡爾森指數,Carlson Trophic State Index,CTSI,-,
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,34.7,μg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,總磷,Total-Phosphate,TP,0.062,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,108.7,%
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,氨氮,NH3-N,NH3-N,0.05,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,24.0,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,8.5,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,懸浮固體,Suspended Solid,SS,7.8,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,氣溫,Temperature,TMP,27.6,℃
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,採樣深度,Sampling Depth,SDP,0.5,m
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,導電度,Conductivity,EC,1580,μmho/cm25℃
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,濁度,Turbidity,TB,7.8,NTU
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,酸鹼值,pH,pH,8.3,
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,透明度,Transparency,SD,0.6,m
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,水溫,Water Temperature,WT,28.0,℃
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-05-10,表水,0.50m,卡爾森指數,Carlson Trophic State Index,CTSI,-,
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,2.8,μg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,總磷,Total-Phosphate,TP,0.025,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,124.3,%
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,氨氮,NH3-N,NH3-N,0.02,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,4.8,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,10.0,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,懸浮固體,Suspended Solid,SS,2.0,mg/L
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,氣溫,Temperature,TMP,33.7,℃
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,採樣深度,Sampling Depth,SDP,0.5,m
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,導電度,Conductivity,EC,261,μmho/cm25℃
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,濁度,Turbidity,TB,1.5,NTU
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,酸鹼值,pH,pH,8.3,
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,透明度,Transparency,SD,1.3,m
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,水溫,Water Temperature,WT,26.3,℃
寶二水庫一,Bao-Er Reservoir I,寶二水庫,新竹縣,北埔鄉,121.0444444,24.7194953,254496.36,2734707.11,2016-05-06,表水,0.50m,卡爾森指數,Carlson Trophic State Index,CTSI,-,
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,5.8,μg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,總磷,Total-Phosphate,TP,0.026,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,100.3,%
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,氨氮,NH3-N,NH3-N,0.02,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,16.1,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,8.9,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,懸浮固體,Suspended Solid,SS,7.9,mg/L
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,氣溫,Temperature,TMP,23.5,℃
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,採樣深度,Sampling Depth,SDP,0.5,m
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,導電度,Conductivity,EC,652,μmho/cm25℃
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,濁度,Turbidity,TB,8.1,NTU
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,酸鹼值,pH,pH,7.2,
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,透明度,Transparency,SD,0.9,m
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,水溫,Water Temperature,WT,21.7,℃
菜浦沃,CaiPuWo,菜浦沃,連江縣,莒光鄉,119.9432050,25.9771670,345050.89,2874747.69,2016-05-19,表水,0.50m,卡爾森指數,Carlson Trophic State Index,CTSI,-,
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,20.6,μg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,總磷,Total-Phosphate,TP,0.017,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,123.8,%
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,氨氮,NH3-N,NH3-N,0.02,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,16.4,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,10.9,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,懸浮固體,Suspended Solid,SS,6.5,mg/L
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,氣溫,Temperature,TMP,23.2,℃
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,採樣深度,Sampling Depth,SDP,0.5,m
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,導電度,Conductivity,EC,703,μmho/cm25℃
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,濁度,Turbidity,TB,4.7,NTU
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,酸鹼值,pH,pH,8.7,
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,透明度,Transparency,SD,1.1,m
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,水溫,Water Temperature,WT,21.9,℃
樂道沃,Le-Dao-Wo,樂道沃,連江縣,莒光鄉,119.9314790,25.9800920,343884.26,2874710.67,2016-05-19,表水,0.50m,卡爾森指數,Carlson Trophic State Index,CTSI,-,
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,21.2,μg/L
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,總磷,Total-Phosphate,TP,0.040,mg/L
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,141.3,%
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,氨氮,NH3-N,NH3-N,0.05,mg/L
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,12.4,mg/L
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,11.8,mg/L
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,懸浮固體,Suspended Solid,SS,7.0,mg/L
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,氣溫,Temperature,TMP,24.8,℃
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,採樣深度,Sampling Depth,SDP,0.5,m
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,導電度,Conductivity,EC,660,μmho/cm25℃
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,濁度,Turbidity,TB,5.8,NTU
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,酸鹼值,pH,pH,9.0,
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,透明度,Transparency,SD,1.6,m
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,水溫,Water Temperature,WT,24.0,℃
東湧,Tung-Yung Reservoir,東湧,連江縣,東引鄉,120.4924680,26.3695730,400440.14,2917865.33,2016-05-25,表水,0.50m,卡爾森指數,Carlson Trophic State Index,CTSI,-,
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,11.0,μg/L
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,總磷,Total-Phosphate,TP,0.015,mg/L
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,92.7,%
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,氨氮,NH3-N,NH3-N,0.04,mg/L
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,14.6,mg/L
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,8.0,mg/L
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,懸浮固體,Suspended Solid,SS,2.6,mg/L
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,氣溫,Temperature,TMP,26.4,℃
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,採樣深度,Sampling Depth,SDP,0.5,m
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,導電度,Conductivity,EC,751,μmho/cm25℃
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,濁度,Turbidity,TB,2.6,NTU
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,酸鹼值,pH,pH,8.0,
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,透明度,Transparency,SD,1.7,m
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,水溫,Water Temperature,WT,23.2,℃
坂里,Fan-Li Reservoir,坂里,連江縣,北竿鄉,119.9740830,26.2218240,348173.43,2901500.23,2016-05-24,表水,0.50m,卡爾森指數,Carlson Trophic State Index,CTSI,-,
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,83.0,μg/L
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,總磷,Total-Phosphate,TP,0.167,mg/L
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,110.5,%
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,氨氮,NH3-N,NH3-N,0.02,mg/L
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,20.0,mg/L
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,9.9,mg/L
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,懸浮固體,Suspended Solid,SS,6.7,mg/L
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,氣溫,Temperature,TMP,24.3,℃
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,採樣深度,Sampling Depth,SDP,0.5,m
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,導電度,Conductivity,EC,516,μmho/cm25℃
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,濁度,Turbidity,TB,3.1,NTU
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,酸鹼值,pH,pH,7.0,
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,透明度,Transparency,SD,1.2,m
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,水溫,Water Temperature,WT,20.3,℃
津沙一號壩,Chin-Sha No.1 Reservoir I,津沙一號壩,連江縣,南竿鄉,119.9147170,26.1483260,342243.46,2893382.18,2016-05-18,表水,0.50m,卡爾森指數,Carlson Trophic State Index,CTSI,-,
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,26.1,μg/L
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,總磷,Total-Phosphate,TP,0.027,mg/L
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,104.5,%
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,氨氮,NH3-N,NH3-N,0.03,mg/L
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,19.8,mg/L
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,8.9,mg/L
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,懸浮固體,Suspended Solid,SS,10.2,mg/L
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,氣溫,Temperature,TMP,24.4,℃
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,採樣深度,Sampling Depth,SDP,0.5,m
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,導電度,Conductivity,EC,548,μmho/cm25℃
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,濁度,Turbidity,TB,4.8,NTU
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,酸鹼值,pH,pH,8.6,
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,透明度,Transparency,SD,1.5,m
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,水溫,Water Temperature,WT,22.9,℃
津沙,Chin-Sha Reservoir,津沙,連江縣,南竿鄉,119.9154200,26.1445650,342288.58,2892950.25,2016-05-18,表水,0.50m,卡爾森指數,Carlson Trophic State Index,CTSI,-,
儲水沃上壩,Chu-Shui-Wo Upper Dam,儲水沃上壩,連江縣,南竿鄉,119.9198360,26.1536000,342630.37,2893971.04,2016-05-18,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,68.2,μg/L
儲水沃上壩,Chu-Shui-Wo Upper Dam,儲水沃上壩,連江縣,南竿鄉,119.9198360,26.1536000,342630.37,2893971.04,2016-05-18,表水,0.50m,總磷,Total-Phosphate,TP,0.048,mg/L
儲水沃上壩,Chu-Shui-Wo Upper Dam,儲水沃上壩,連江縣,南竿鄉,119.9198360,26.1536000,342630.37,2893971.04,2016-05-18,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,136.0,%
儲水沃上壩,Chu-Shui-Wo Upper Dam,儲水沃上壩,連江縣,南竿鄉,119.9198360,26.1536000,342630.37,2893971.04,2016-05-18,表水,0.50m,氨氮,NH3-N,NH3-N,<0.01,mg/L
儲水沃上壩,Chu-Shui-Wo Upper Dam,儲水沃上壩,連江縣,南竿鄉,119.9198360,26.1536000,342630.37,2893971.04,2016-05-18,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,22.8,mg/L
