SiteName,SiteEngName,DamName,County,Township,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,SampleLayer,SampleDepth,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,32.3,μg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,總磷,Total-Phosphate,TP,0.043,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,82.4,%
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,氨氮,NH3-N,NH3-N,0.02,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,22.2,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,8.3,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,懸浮固體,Suspended Solid,SS,5.8,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,氣溫,Temperature,TMP,11.9,℃
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,採樣深度,Sampling Depth,SDP,0.5,m
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,導電度,Conductivity,EC,488,μmho/cm25℃
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,濁度,Turbidity,TB,5.6,NTU
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,酸鹼值,pH,pH,7.3,
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,透明度,Transparency,SD,1.3,m
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,水溫,Water Temperature,WT,15.5,℃
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,15569.00,2707596.00,2016-01-19,表水,0.50m,卡爾森指數,Carlson Trophic State Index,CTSI,-,
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-01-19,表水,0.50m,葉綠素a,Chlorophyl-A,Chl-A,49.8,μg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-01-19,表水,0.50m,總磷,Total-Phosphate,TP,0.058,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-01-19,表水,0.50m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,101.7,%
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-01-19,表水,0.50m,氨氮,NH3-N,NH3-N,<0.01,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-01-19,表水,0.50m,化學需氧量,Chemical Oxygen Demand,COD,32.1,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-01-19,表水,0.50m,溶氧(電極法),Dissolved Oxygen,DO,10.4,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-01-19,表水,0.50m,懸浮固體,Suspended Solid,SS,12.3,mg/L
金湖,Jin hu,金湖,金門縣,金湖鎮,118.4583703,24.4344722,7751.00,2705522.00,2016-01-19,表水,0.50m,氣溫,Temperature,TMP,12.8,℃
