停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
【停水區域一】南投縣水里鄉民族路、玉山街、北埔街、東三街、五福路、博愛路、六合路、中山二街、中山路一段等路段(含巷弄)。;鉅工村;南光村;北埔村,2015/11/30 8:30至2016/04/29 18:0,2016/04/29 18:0以後,049-2762076#203,2015/11/30~2016/4/30,553南投縣水里鄉     
【停水區域一】高雄市甲仙區光華路;高雄市杉林區通仙巷,2015/11/10 8:0至2016/05/20 21:0,2016/05/20 21:0以後,076613807,2015/11/30~2016/5/21,847高雄市甲仙區     846高雄市杉林區     
【停水區域一】南投縣竹山鎮民生巷、沉潭巷及其部分巷道,2015/10/13 14:0至2016/02/29 18:0,2016/02/29 18:0以後,0492642074,2015/12/7~2016/3/1,557南投縣竹山鎮     557南投縣竹山鎮     
【停水區域一】嘉義縣中埔鄉金蘭村;裕民村;義仁村,2015/12/14 8:0至2016/03/15 19:0,2016/03/15 19:0以後,05-2611075,2015/12/30~2016/3/16,606嘉義縣中埔鄉     
,,,04-7353883,2016/1/4~2016/4/1,
【停水區域一】台南市官田區隆田里{全部無水};隆本里{全部無水};中山路一段{全部無水};三民路{全部無水};春節期間105年2月1日~2月14日禁挖正常供水;於105年2月15日進場開挖每日上午8點至下午6點全部無水,2016/01/20 8:0至2016/03/31 18:0每日上午8點至下午6點,每日下午6點後至翌日早上8點,(06)5721166,2016/1/12~2016/4/1,720台南市官田區     
【停水區域一】高雄市大樹區三和里;大坑里;三和路;大坑路,2016/01/18 8:0至2016/02/06 19:0,2016/02/06 19:0以後,(07)7424163,2016/1/13~2016/2/7,840高雄市大樹區     
【停水區域一】高雄市大寮區過溪里,2016/01/18 8:0至2016/02/06 18:0,2016/02/06 18:0以後,(07)7424163,2016/1/13~2016/2/7,831高雄市大寮區     
【停水區域一】雲林縣虎尾鎮新吉里,2016/01/20 8:0至2016/02/20 18:0,2016/02/20 18:0以後,05-6322047,2016/1/18~2016/2/21,632雲林縣虎尾鎮     
【停水區域一】高雄市鳳山區新強路、新民街、新熱街、新康街、新昌街、新國街等附近一帶,2016/01/20 17:0至2016/02/05 23:59,2016/02/05 23:59以後,7883714,2016/1/20~2016/2/6,830高雄市鳳山區     
【區域1】台南市安南區府安路七段112號之後{全部},2016/01/25 8:0至2016/02/02 18:0【每日上午08 時00分至下午06 時00分】,2016/02/02 18:0以後,,2016/1/21~2016/2/3,709台南市安南區     
【停水區域一】彰化縣秀水鄉秀水村;彰化縣花壇鄉劉厝村、崙雅村等一帶,2016/01/21 10:0至2016/02/04 18:0,2016/02/04 18:0以後,監工朱延清04-7245031*312、承包商振益水電工業股份有限公司許昱澤0910-537813,2016/1/21~2016/2/5,504彰化縣秀水鄉     503彰化縣花壇鄉     
【停水區域一】彰化縣秀水鄉金興村、陜西村等一帶;彰化縣花壇鄉花壇村一帶,2016/01/21 8:0至2016/02/04 18:0,2016/02/04 18:0以後,監工人員-蘇健源04-7245031*302、承包商-裕緯營造工程有限公司-林美秀04-8911223,2016/1/21~2016/2/5,504彰化縣秀水鄉     503彰化縣花壇鄉     
【區域1】台南市安南區府安路七段112號之後{全部},2016/01/25 8:0至2016/02/02 18:0【每日上午08 時00分至下午06 時00分】,2016/02/02 18:0以後,06-2370021#268,2016/1/21~2016/2/3,709台南市安南區     
【停水區域一】嘉義縣六腳鄉全部村里;嘉義縣太保市全部村里;嘉義縣布袋鎮全部村里;嘉義縣朴子市全部村里;嘉義縣鹿草鄉全部村里,2016/01/26 13:0至2016/02/05 0:0,2016/02/05 0:0(System.Web.UI.WebControls.TextBox),05-3792117,2016/1/27~2016/2/6,615嘉義縣六腳鄉     612嘉義縣太保市     625嘉義縣布袋鎮     613嘉義縣朴子市     611嘉義縣鹿草鄉     
【停水區域一】南投縣仁愛鄉大同村,2016/01/29 21:0至2016/02/27 8:0,2016/02/27 8:0(System.Web.UI.WebControls.TextBox),049-2915176,2016/1/28~2016/2/28,546南投縣仁愛鄉     
【停水區域一】台中市沙鹿區三鹿里、埔子里、自強路、自立路、中園街、國昌一街、國昌二街、國昌三街、國昌四街、中樂街、正德路、正順路、正英路附近區域(含巷弄)。;台中市龍井區龍泉里、龍社路、南社路、中社路、水裡社街附近區域(含巷弄)。,2016/01/29 19:0至2016/02/29 23:0,2016/02/29 23:0(System.Web.UI.WebControls.TextBox),26312127,2016/1/29~2016/3/1,433台中市沙鹿區     434台中市龍井區     
【停水區域一】高雄市茄萣區高雄市茄萣區茄萣路二段(濱海路四段以南至茄萣路二段460巷以北),2016/01/31 9:0至2016/02/04 18:0,2016/02/04 18:0(System.Web.UI.WebControls.TextBox),(07)6934819,2016/1/30~2016/2/5,852高雄市茄萣區     
【停水區域一】高雄市小港區全區;高雄市前鎮區全區;高雄市鼓山區全區;高雄市旗津區全區;高雄市鹽埕區全區,2016/01/31 15:0至2016/02/02 8:0,2016/1/31至2016/2/2每日上午 08:00以後,1910,2016/2/1~2016/2/3,812高雄市小港區     806高雄市前鎮區     804高雄市鼓山區     805高雄市旗津區     803高雄市鹽埕區     
【停水區域一】高雄市小港區全區;高雄市前鎮區全區;高雄市鼓山區全區;高雄市旗津區全區;高雄市鹽埕區全區,2016/01/31 15:0至2016/02/02 8:0,2016/02/02 8:0(System.Web.UI.WebControls.TextBox),1910,2016/2/1~2016/2/3,812高雄市小港區     806高雄市前鎮區     804高雄市鼓山區     805高雄市旗津區     803高雄市鹽埕區     
【停水區域一】台中市南區台中路;民意街;合作街;有恆街;忠孝路;國光路;愛國街;瑞豐街;瑞光街;信義南街;正義街;仁和路等附近一帶,2016/02/01 18:0至2016/02/02 0:0,2016/2/1至2016/2/2每日上午 12:00以後,04-22442469.1910,2016/2/1~2016/2/3,402台中市南區       
【區域1】南投縣竹山鎮中山里、雲林里，公所路、集山路三段、埔頭街、林圮街,2016/02/01 17:30至2016/02/02 0:0 ,2016/02/02 0:0以後,,2016/2/1~2016/2/3,557南投縣竹山鎮     
【停水區域一】台中市北屯區同樂巷;昌平路二段;昌平路一段;大富路;昌平路二段金谷巷;昌平路二段金寶巷;更生巷,2016/02/01 21:0至2016/02/02 1:0,2016/2/1至2016/2/2每日上午 01:00以後,1910    04-22442469,2016/2/1~2016/2/3,406台中市北屯區     
【區域1】高雄市鼓山區全區,2016/02/02 8:0至2016/02/03 8:0 ,2016/02/03 8:0以後,,2016/2/2~2016/2/4,804高雄市鼓山區     
【停水區域一】高雄市鳳山區五甲二路、南江街、臨海路、南華路、林森路、南昌街、正氣街、正義街、鳳南路、南貴街、三商街、瑞隆東路、南京路、中崙路等附近地區,2016/02/02 9:0至2016/02/02 20:0,2016/2/2至2016/2/2每日下午 08:00以後,7883714,2016/2/2~2016/2/3,830高雄市鳳山區     
【停水區域一】桃園市桃園區永安路(自國際路二段至新興街)沿線含巷弄、永星街、永佳街,2016/02/02 9:0至2016/02/02 16:0,2016/2/2至2016/2/2每日下午 04:00以後,03-3346128,2016/2/2~2016/2/3,330桃園市桃園區     
【停水區域一】嘉義縣竹崎鄉紫雲村,2016/02/02 8:20至2016/02/02 18:0,2016/2/2至2016/2/2每日下午 06:00以後,05-2611075,2016/2/2~2016/2/3,604嘉義縣竹崎鄉     
【停水區域一】嘉義縣竹崎鄉沙坑村,2016/02/02 10:0至2016/02/02 17:0,2016/2/2至2016/2/2每日下午 05:00以後,05-2611075,2016/2/2~2016/2/3,604嘉義縣竹崎鄉     
【停水區域一】台南市官田區171線27K+930附近,2016/02/02 11:0至2016/02/02 15:0,2016/02/02 15:0(System.Web.UI.WebControls.TextBox),5721165,2016/2/2~2016/2/3,720台南市官田區     
【停水區域一】嘉義縣朴子市新榮路;海通路,2016/02/02 9:0至2016/02/02 10:0,2016/2/2至2016/2/2每日上午 10:00以後,05-3792117,2016/2/2~2016/2/3,613嘉義縣朴子市     
【停水區域一】台南市北門區雙春;新圍,2016/02/02 12:42至2016/02/02 17:0,2016/02/02 17:0(System.Web.UI.WebControls.TextBox),7222477,2016/2/2~2016/2/3,727台南市北門區     
