停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
【停水區域一】苗栗縣頭份鎮濫坑里 金印山莊地區  (預計施工期4~5個月)建請裝置加壓馬達用水,2016/03/25 19:0至2016/08/31 19:0,2016/3/25至2016/8/31每日下午 07:00以後,623500   628000,2016/3/25~2016/9/1,351苗栗縣頭份鎮     
,,,04-7353883,2016/3/30~2016/7/1,
【停水區域一】南投縣魚池鄉大林村、共和村,2016/04/08 9:0至2016/10/31 18:0,2016/10/31 18:0(System.Web.UI.WebControls.TextBox),049-2915176,2016/4/7~2016/11/1,555南投縣魚池鄉     
【停水區域一】屏東縣新園鄉五房村,2016/05/30 8:0至2016/06/30 19:0,2016/06/30 19:0(),08-8325550,2016/5/27~2016/7/1,932屏東縣新園鄉     
【停水區域一】台中市沙鹿區三鹿里、埔子里、自強路、自立路、中園街、國昌一街、國昌二街、國昌三街、國昌四街、中樂街、正德路、正順路、正英路附近區域(含巷弄)。台中市龍井區龍泉里、龍社路、南社路、中社路、水裡社街附近區域(含巷弄)。,2016-05-31 19:00至2016-06-30 23:00,2016-06-30 23:00(每日晚上7點至晚上11點),26312127,2016/6/1~2016/7/1,433台中市沙鹿區     434台中市龍井區     
【停水區域一】台中市太平區永成北路以東、太平三街以西、長億六街以北、太平路以南(永成里/長億里/永平里),2016/06/09 9:0至2016/07/08 17:30,2016/07/08 17:30(每日上午9點至下午5點 30分),1910;04-22442469,2016/6/6~2016/7/9,411台中市太平區     
【停水區域一】台中市東區忠明南路以東、大智路以西、忠明南路以北、建國南路以南(新庄里/振興里/東興里/東橋里/城隍里/德義里/長榮里/新榮里/江川里/福平里/福順里/福興里/國光里/南門里/南和里)。;台中市南區忠明南路以東、大智路以西、忠明南路以北、建國南路以南(新庄里/振興里/東興里/東橋里/城隍里/德義里/長榮里/新榮里/江川里/福平里/福順里/福興里/國光里/南門里/南和里)。,2016/06/02 9:0至2016/07/01 17:30,2016/07/01 17:30(每日上午9點30分至下午17點 30分),1910;04-22442469,2016/6/6~2016/7/2,401台中市東區       402台中市南區       
【停水區域一】高雄市大樹區佛光山、統嶺里、興田里、溪埔里、三和高地、姑山高地;高雄市田寮區鹿埔里、古亭里除外;高雄市岡山區三和里;高雄市阿蓮區峰山里、中正路1~100號;高雄市旗山區嶺口及溪洲地區;高雄市燕巢區全區,2016/06/29 9:0至2016/06/30 5:0,2016/06/30 5:0(),1910,2016/6/8~2016/7/1,840高雄市大樹區     823高雄市田寮區     820高雄市岡山區     822高雄市阿蓮區     842高雄市旗山區     824高雄市燕巢區     
【停水區域一】屏東縣高樹鄉舊寮村,2016/06/15 8:0至2016/07/14 19:0,2016/07/14 19:0(每日上午8點至下午7點),087962041,2016/6/15~2016/7/15,906屏東縣高樹鄉     
【停水區域一】屏東縣高樹鄉東興村;東振村,2016/06/15 8:0至2016/07/14 18:0,2016/07/14 18:0(每日上午8點至下午6點),087962041,2016/6/15~2016/7/15,906屏東縣高樹鄉     
